id,user_id,loan_timestamp,loan_amount,loan_purpose,outcome,interest,webvisit_id,name,ssn,birthday,gender,city,zip_code,visit_timestamp,referrer,campaing_name
455,30518218,1568434485,240000,Refinance existing loans,REJECTED,7.0,,Αγλαΐα Αναστασάκη,119-44-2413,1973-10-07,F,Καλαμάτα,617 74,,,
2334,90144419,1515477209,200000,Buying a pet,REJECTED,6.7,,Βλάσης Ραχωβίτσας,936-19-7306,1985-09-04,F,Κέρκυρα,994 24,,,
3169,94761896,1529190468,180000,Refinance existing loans,REJECTED,6.7,,Προκόπιος Δανελής,481-32-4005,1986-03-13,F,Σέρρες,ΤΚ 78754,,,
3963,56773012,1518499569,100000,Refinance existing loans,REJECTED,7.0,,Νικολίτσα Μαυροπούλου,390-94-6729,1996-07-14,F,Δράμα,ΤΚ 037 25,,,
23391,6725958,1562979451,240000,Refinance existing loans,ACCEPTED,14.0,27905386,Κλειώ Τυμβίου,481-43-5176,1979-11-19,F,Ρέθυμνο,ΤΚ 536 63,,,
26806,5612318,1568292513,20000,Buying a pet,REJECTED,14.0,,Ιερώνυμος Γιαννακέας,199-24-5931,1985-08-25,F,Αλεξανδρούπολη,ΤΚ 98917,,,
28156,60203510,1534893934,120000,Home purchase,REJECTED,14.0,,Πολύκαρπος Ανδριόπουλος,249-65-3167,1984-01-26,M,Πύργος,ΤΚ 23995,,,
30320,11140426,1549911245,200000,home purchase,REJECTED,14.0,,Άρης Ανδρουλιδάκης,695-91-9302,1987-11-18,F,Άμφισσα,ΤΚ 22013,,,
30760,28001197,1529861389,260000,buying a pet,REJECTED,14.0,,Ισίδωρος Γρηγοριάδης,337-81-9039,1990-02-24,F,Λιβαδιά,51272,,,
31330,69070278,1532568512,90000,Buying a pet,REJECTED,7.0,67647023,Γαρύφαλλος Γιαννάκης,658-32-3819,1992-10-14,M,Καρδίτσα,08675,1521815870,Facebook,display2
31330,69070278,1532568512,90000,Buying a pet,REJECTED,7.0,67647023,Γαρύφαλλος Γιαννάκης,658-32-3819,1992-10-14,M,Καρδίτσα,08675,1540839291,Twitter,display1
31330,69070278,1532568512,90000,Buying a pet,REJECTED,7.0,67647023,Γαρύφαλλος Γιαννάκης,658-32-3819,1992-10-14,M,Καρδίτσα,08675,1558304118,Google,display2
31330,69070278,1532568512,90000,Buying a pet,REJECTED,7.0,67647023,Γαρύφαλλος Γιαννάκης,658-32-3819,1992-10-14,M,Καρδίτσα,08675,1560157915,Twitter,display3
31403,42101221,1529720514,180000,Buying a pet,ACCEPTED,14.0,,Βεατρίκη Λίτσιου,410-94-8023,1995-04-09,F,Κόρινθος,ΤΚ 942 71,,,
37411,18404204,1516987697,230000,Buying a pet,REJECTED,8.7,35858714,Μικές Σφούνης,373-72-6660,1989-03-06,F,Μυτιλήνη,ΤΚ 763 79,1545246917,Twitter,display2
37411,18404204,1516987697,230000,Buying a pet,REJECTED,8.7,35858714,Μικές Σφούνης,373-72-6660,1989-03-06,F,Μυτιλήνη,ΤΚ 763 79,1554443370,Facebook,display3
37411,18404204,1516987697,230000,Buying a pet,REJECTED,8.7,35858714,Μικές Σφούνης,373-72-6660,1989-03-06,F,Μυτιλήνη,ΤΚ 763 79,1554646793,Twitter,display1
46530,52297236,1510051564,260000,home purchase,ACCEPTED,6.7,,Γεράσιμος Τσαλαμάνδρης,809-02-3686,1972-09-14,M,Ιωάννινα,17540,,,
76591,17981565,1529662302,270000,buying a pet,REJECTED,7.0,,Αίας-Πραξιτέλης Κελαϊδώνης,763-74-6126,1975-09-16,M,Ρέθυμνο,ΤΚ 84956,,,
86512,46488456,1540538648,240000,Home purchase,ACCEPTED,7.0,,Μελίνα Ποσάντζη,066-34-9666,1990-09-04,M,Βόλος,234 50,,,
92157,88126177,1521762797,150000,Refinance existing loans,ACCEPTED,6.7,,Κώστας Λάππας,645-57-1460,1988-04-14,F,Ερμούπολη,459 95,,,
103389,14675179,1560442804,100000,Buying a pet,ACCEPTED,8.7,5074496,Αρχιμήδης-Αριστομένης Κουβάς,348-20-2339,1971-03-25,M,Έδεσσα,19210,,,
103534,88340112,1516451530,30000,Home purchase,ACCEPTED,14.0,,Επαμεινώνδας Τσούπρας,996-15-1379,1980-08-15,M,Πολύγυρος,384 96,,,
104349,26334661,1534834329,90000,Buying a pet,REJECTED,7.0,97451792,Ιγνατία Μπαλαμπάνη,715-61-8473,1987-11-15,F,Ηράκλειο,ΤΚ 19443,1512077652,Google,display2
104349,26334661,1534834329,90000,Buying a pet,REJECTED,7.0,97451792,Ιγνατία Μπαλαμπάνη,715-61-8473,1987-11-15,F,Ηράκλειο,ΤΚ 19443,1561436678,Twitter,display1
111461,23681216,1515901746,250000,Refinance existing loans,REJECTED,6.7,,Θεανώ Μιχελή,997-43-9071,1991-12-12,F,Βέροια,26258,,,
119038,40429545,1554321096,180000,Buying a pet,ACCEPTED,7.0,,Αβραάμ Πάντος,366-02-5196,1977-09-18,M,Σάμος,56158,,,
125807,72790291,1515527891,80000,Refinance existing loans,REJECTED,7.0,762251,Χριστοδούλα Σηκωτίδου,119-14-5251,1988-06-12,M,Δράμα,ΤΚ 406 19,1562321664,Facebook,display3
132730,23071790,1515965686,200000,home purchase,REJECTED,6.7,87606107,Σάρρα Σκαβέντζου,116-06-9712,1973-07-29,F,Χαλκίδα,551 69,1550665498,Facebook,display2
132730,23071790,1515965686,200000,home purchase,REJECTED,6.7,87606107,Σάρρα Σκαβέντζου,116-06-9712,1973-07-29,F,Χαλκίδα,551 69,1563704070,Google,display3
132917,69103574,1532063050,120000,buying a pet,REJECTED,8.7,,Ιάκωβος Παπαστεργίου,604-21-9676,1992-01-13,M,Καλαμάτα,50841,,,
150778,93492559,1521757249,270000,Buying a pet,ACCEPTED,14.0,,Σαββούλα Μαργαριτάκη,450-35-1563,1984-09-19,M,Πρέβεζα,ΤΚ 86339,,,
154193,43821660,1554130628,290000,Buying a pet,REJECTED,6.7,,Εριφύλη Δραμουντάνη,051-48-9975,1984-10-12,M,Κοζάνη,24368,,,
